A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-79.0,-65.0,-80,-74.0,,,-80.0,
,,-80.0,-69.0,-79,-80.0,,,-79.0,
,,-76.0,-77.0,-72,-74.0,,,-78.0,
,,-80.0,-64.0,-71,-72.0,,,-76.0,
,,-79.0,-69.0,-63,-71.0,,,-70.0,
,,-79.0,-77.0,-70,-77.0,,,-65.0,
,,-80.0,-63.0,-72,-68.0,,,-80.0,
,,-80.0,-68.0,-78,-68.0,,,-69.0,
,,-78.0,-68.0,-78,-78.0,,,-66.0,
,,-79.0,-67.0,-78,-75.0,,,-80.0,
,,-79.0,-73.0,-78,-77.0,,,-68.0,
,,-79.0,-73.0,-77,-74.0,,,-76.0,
,,-80.0,-71.0,-79,-75.0,,,-63.0,
,,-79.0,-63.0,-77,-77.0,,,-65.0,
,,,-64.0,-80,-74.0,,,-61.0,
,,,-69.0,-74,-72.0,,,-67.0,
,,,-78.0,-75,-78.0,,,-62.0,
,,,-69.0,-73,-77.0,,,-62.0,
,,,-73.0,-73,-79.0,,,-70.0,
,,,-63.0,-77,-76.0,,,-63.0,
,,,-64.0,-78,-77.0,,,-63.0,
,,,-64.0,-78,,,,-60.0,
,,,-71.0,-77,,,,-64.0,
,,,-66.0,-72,,,,-80.0,
,,,-65.0,-75,,,,-80.0,
,,,-70.0,-77,,,,-78.0,
,,,-79.0,-56,,,,-77.0,
,,,-69.0,-70,,,,,
,,,-76.0,-65,,,,,
,,,,-64,,,,,
