A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-78.0,-63,-80.0,-79.0,,,-80.0,
,,,-61,-80.0,-73.0,,,-80.0,
,,,-52,-79.0,-76.0,,,-78.0,
,,,-58,-80.0,-75.0,,,-74.0,
,,,-58,-72.0,-74.0,,,-63.0,
,,,-59,-72.0,-74.0,,,-66.0,
,,,-51,-67.0,-74.0,,,-80.0,
,,,-66,-80.0,-78.0,,,-76.0,
,,,-69,-80.0,-76.0,,,-78.0,
,,,-66,-79.0,-76.0,,,-76.0,
,,,-66,-78.0,-80.0,,,-79.0,
,,,-65,-80.0,-80.0,,,-71.0,
,,,-65,-78.0,-80.0,,,-77.0,
,,,-70,-80.0,-74.0,,,-79.0,
,,,-73,-72.0,-74.0,,,-80.0,
,,,-64,-68.0,-74.0,,,-79.0,
,,,-63,-79.0,-77.0,,,-71.0,
,,,-60,-76.0,,,,-63.0,
,,,-59,-79.0,,,,-72.0,
,,,-62,-72.0,,,,-77.0,
,,,-60,-69.0,,,,-80.0,
,,,-69,-66.0,,,,-77.0,
,,,-76,,,,,-79.0,
,,,-59,,,,,-78.0,
,,,-54,,,,,-72.0,
,,,-52,,,,,-73.0,
,,,-62,,,,,,
,,,-58,,,,,,
,,,-66,,,,,,
