A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,-67.0,-75,-76.0,,-62,,,-77,
,,-74,,,-61,,,-76,
,,-75,,,-61,,,-79,
,,-75,,,-61,,,-76,
,,-74,,,-62,,,-75,
,,-75,,,-63,,,-74,
,,-74,,,-64,,,-63,
,,-73,,,-64,,,-62,
,,-73,,,-63,,,-62,
,,-72,,,-63,,,-63,
,,-73,,,-62,,,-62,
,,-73,,,-62,,,-63,
,,-73,,,-62,,,-65,
,,-73,,,-62,,,-64,
,,-73,,,-62,,,-64,
,,-72,,,-69,,,-62,
,,-72,,,-61,,,-62,
,,-72,,,-61,,,-62,
,,-73,,,-61,,,-62,
,,-73,,,-68,,,-64,
,,-79,,,-61,,,-65,
,,-74,,,-65,,,-63,
,,-76,,,-69,,,-79,
,,-78,,,-78,,,-63,
,,-79,,,-75,,,-70,
,,-78,,,-79,,,-80,
,,-76,,,-68,,,-75,
,,-79,,,-70,,,-76,
,,-80,,,-63,,,-66,
,,-75,,,-63,,,-72,
,,-74,,,-62,,,-69,
,,-78,,,-57,,,-73,
,,-60,,,-78,,,-69,
,,-79,,,-79,,,-66,
