A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-74.0,-80.0,-74.0,-59,,,-60.0,
,,-70.0,-71.0,-75.0,-57,,,-61.0,
,,-73.0,-77.0,,-57,,,-60.0,
,,-71.0,,,-57,,,-59.0,
,,-70.0,,,-50,,,-68.0,
,,-75.0,,,-72,,,-72.0,
,,-63.0,,,-47,,,-51.0,
,,-69.0,,,-64,,,-49.0,
,,-80.0,,,-61,,,-59.0,
,,-70.0,,,-61,,,-58.0,
,,-61.0,,,-65,,,-61.0,
,,-74.0,,,-63,,,-72.0,
,,-70.0,,,-65,,,-68.0,
,,-66.0,,,-75,,,-57.0,
,,-77.0,,,-63,,,-59.0,
,,-65.0,,,-65,,,-78.0,
,,-63.0,,,-69,,,-59.0,
,,-62.0,,,-70,,,-61.0,
,,-66.0,,,-57,,,-60.0,
,,-73.0,,,-75,,,-60.0,
,,-72.0,,,-60,,,-66.0,
,,-69.0,,,-59,,,-64.0,
,,,,,-47,,,-67.0,
,,,,,-69,,,,
