Position,Time
60,13h54
61,13h56
62,9h40
63,13h58
64,14h01
65,10h06
66,14h03
67,14h05
68,9h46
69,14h07
70,10h16
71,14h09
72,14h11
73,9h51
74,14h13
75,14h15
76,9h57
77,14h17
78,14h31
79,10h02
80,14h33
81,14h35
82,10h23
83,14h37
84,14h39
85,10h30
86,14h42
87,14h44
88,10h36
89,14h46
90,10h42
