A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-80.0,-80.0,-79.0,-66,,,-65,
,,-80.0,-80.0,-77.0,-69,,,-63,
,,-77.0,-80.0,-80.0,-68,,,-63,
,,-78.0,-79.0,-76.0,-60,,,-63,
,,-76.0,-77.0,-76.0,-54,,,-61,
,,-79.0,-79.0,-74.0,-68,,,-59,
,,-74.0,-79.0,-77.0,-55,,,-58,
,,-77.0,-78.0,-74.0,-58,,,-63,
,,-77.0,-80.0,,-62,,,-66,
,,-78.0,-80.0,,-59,,,-61,
,,-77.0,-80.0,,-55,,,-67,
,,-72.0,-77.0,,-55,,,-66,
,,-79.0,-80.0,,-60,,,-64,
,,-78.0,-79.0,,-57,,,-63,
,,-77.0,-80.0,,-58,,,-62,
,,-80.0,-80.0,,-80,,,-70,
,,-80.0,-77.0,,-67,,,-72,
,,-80.0,,,-76,,,-69,
,,-75.0,,,-62,,,-71,
,,-74.0,,,-63,,,-70,
,,,,,-61,,,-70,
,,,,,-69,,,-70,
,,,,,-68,,,-70,
,,,,,-65,,,-69,
,,,,,-63,,,-62,
,,,,,-65,,,-68,
,,,,,-70,,,-59,
,,,,,-65,,,-66,
,,,,,-57,,,-66,
,,,,,-62,,,-77,
