60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,76.0
-68,-66,-70,-58,-75,-69,-59,-71,-66,-71,-76,-61,-73,-71.0,-68,-72,-73,-78.0,-74.0,-77.0,-76.0,-80.0,-80.0,-80.0,-70.0,-78.0,-80,-72,-79,-71,
-68,-73,-67,-64,-69,-65,-58,-68,-68,-78,-74,-64,-73,-68.0,-64,-64,-72,-77.0,-76.0,-76.0,-75.0,-76.0,-80.0,-78.0,-76.0,-79.0,-74,-67,-79,-73,
-74,-65,-76,-63,-60,-64,-63,-79,-69,-68,-74,-59,-74,-70.0,-70,-77,-71,-79.0,-79.0,-77.0,-76.0,-79.0,-73.0,-79.0,-80.0,,-75,-65,-77,-72,
-67,-77,-65,-71,-62,-77,-63,-69,-74,-73,-76,-59,-66,-69.0,-62,-65,-65,-73.0,,-80.0,-78.0,,-77.0,-79.0,-77.0,,-74,-76,-79,-80,
-65,-74,-70,-60,-58,-75,-62,-79,-68,-75,-73,-62,-73,-74.0,-63,-72,-68,-73.0,,-74.0,,,-77.0,-78.0,-77.0,,-73,-70,-79,-74,
-65,-69,-66,-68,-62,-74,-71,-62,-77,-78,-69,-59,-77,,-72,-59,-66,,,,,,,-79.0,-80.0,,-74,-71,-77,-75,
-68,-66,-70,-58,-75,-69,-59,-71,-66,-71,-76,-61,-73,-71.0,-68,-72,-73,-78.0,-74.0,-77.0,-76.0,-80.0,-80.0,-80.0,-70.0,-78.0,-80,-72,-79,-71,
-68,-73,-67,-64,-69,-65,-58,-68,-68,-78,-74,-64,-73,-68.0,-64,-64,-72,-77.0,-76.0,-76.0,-75.0,-76.0,-80.0,-78.0,-76.0,-79.0,-74,-67,-79,-73,
-74,-65,-76,-63,-60,-64,-63,-79,-69,-68,-74,-59,-74,-70.0,-70,-77,-71,-79.0,-79.0,-77.0,-76.0,-79.0,-73.0,-79.0,-80.0,,-75,-65,-77,-72,
-67,-77,-65,-71,-62,-77,-63,-69,-74,-73,-76,-59,-66,-69.0,-62,-65,-65,-73.0,,-80.0,-78.0,,-77.0,-79.0,-77.0,,-74,-76,-79,-80,
-65,-74,-70,-60,-58,-75,-62,-79,-68,-75,-73,-62,-73,-74.0,-63,-72,-68,-73.0,,-74.0,,,-77.0,-78.0,-77.0,,-73,-70,-79,-74,
-65,-69,-66,-68,-62,-74,-71,-62,-77,-78,-69,-59,-77,,-72,-59,-66,,,,,,,-79.0,-80.0,,-74,-71,-77,-75,
-64,-66,-74,-62,-55,-59,-61,-68,-68,-67,-76,-61,-73,-75.0,-76,-76,-77,-78.0,-78.0,-80.0,-78.0,-78.0,-77.0,-75.0,-78.0,-79.0,-73,-79,-73,-76,-79.0
-65,-70,-68,-66,-64,-56,-68,-56,-73,-66,-74,-64,-73,-72.0,-69,-70,-78,-80.0,-79.0,-80.0,-78.0,-79.0,-77.0,-77.0,-72.0,-79.0,-77,-71,-76,-73,-80.0
-65,-66,-74,-67,-64,-58,-63,-67,-68,-69,-74,-59,-74,-71.0,-76,-71,-65,-73.0,-80.0,-79.0,,-79.0,-76.0,-75.0,-80.0,-79.0,-75,-69,-71,-71,-77.0
-71,-72,-78,-58,-68,-53,-61,-69,-68,-68,-76,-59,-66,-74.0,-68,-78,-67,-72.0,-72.0,-76.0,,-78.0,-79.0,-75.0,-79.0,-75.0,-77,-66,-80,-70,-80.0
-62,-69,-78,-61,-70,-60,-63,-63,-65,-66,-73,-62,-73,-74.0,-66,-73,-69,-76.0,-74.0,-78.0,,,-77.0,,-77.0,-79.0,-75,-71,-77,-70,-78.0
-60,-72,-69,-66,-68,-58,-61,-67,-78,-71,-69,-59,-77,-75.0,-75,-73,-68,-79.0,-79.0,-75.0,,,,,,,-76,-77,-67,-71,-74.0
