timestamp,macModule,rssi
2022-09-23 13:28:09.602,A8032A311FAA,-80
2022-09-23 13:34:33.009,A8032A311FAA,-59
2022-09-23 13:34:23.183,A8032A311FAA,-69
2022-09-23 13:44:59.604,A8032A311FAA,-75
2022-09-23 13:34:11.478,A8032A311FAA,-75
2022-09-23 13:34:03.696,A8032A311FAA,-58
2022-09-23 13:33:51.988,A8032A311FAA,-75
2022-09-23 13:33:42.180,A8032A311FAA,-65
2022-09-23 13:33:32.402,A8032A311FAA,-63
2022-09-23 13:33:22.611,A8032A311FAA,-78
2022-09-23 13:33:12.911,A8032A311FAA,-70
2022-09-23 13:33:03.101,A8032A311FAA,-66
2022-09-23 14:27:52.095,A8032A311FAA,-79
2022-09-23 13:32:51.373,A8032A311FAA,-52
2022-09-23 14:28:03.784,A8032A311FAA,-61
2022-09-23 13:32:43.606,A8032A311FAA,-59
2022-09-23 14:28:13.507,A8032A311FAA,-60
2022-09-23 13:32:33.771,A8032A311FAA,-56
2022-09-23 14:28:23.224,A8032A311FAA,-50
2022-09-23 14:28:32.936,A8032A311FAA,-71
2022-09-23 13:40:41.922,A8032A311FAA,-70
2022-09-23 14:28:36.830,A8032A311FAA,-70
2022-09-23 13:32:08.374,A8032A311FAA,-42
2022-09-23 14:28:44.619,A8032A311FAA,-72
2022-09-23 13:32:02.575,A8032A311FAA,-53
2022-09-23 14:29:00.181,A8032A311FAA,-80
2022-09-23 13:31:52.838,A8032A311FAA,-61
2022-09-23 14:29:11.948,A8032A311FAA,-80
2022-09-23 13:34:42.825,A8032A311FAA,-66
2022-09-23 13:44:51.809,A8032A311FAA,-80
2022-09-23 13:34:52.533,A8032A311FAA,-62
2022-09-23 13:44:41.984,A8032A311FAA,-80
2022-09-23 13:41:01.478,A8032A311FAA,-80
2022-09-23 13:41:23.084,A8032A311FAA,-78
2022-09-23 13:40:32.088,A8032A311FAA,-73
2022-09-23 13:41:32.849,A8032A311FAA,-70
2022-09-23 13:41:40.608,A8032A311FAA,-76
2022-09-23 13:41:50.341,A8032A311FAA,-80
2022-09-23 13:41:58.168,A8032A311FAA,-76
2022-09-23 13:42:13.809,A8032A311FAA,-74
2022-09-23 13:42:31.291,A8032A311FAA,-74
2022-09-23 13:42:42.961,A8032A311FAA,-73
2022-09-23 13:42:50.736,A8032A311FAA,-77
2022-09-23 13:43:02.521,A8032A311FAA,-68
2022-09-23 13:43:12.242,A8032A311FAA,-68
2022-09-23 13:31:41.000,A8032A311FAA,-73
2022-09-23 13:43:21.967,A8032A311FAA,-70
2022-09-23 13:43:43.476,A8032A311FAA,-76
2022-09-23 13:35:45.261,A8032A311FAA,-72
2022-09-23 13:43:53.278,A8032A311FAA,-72
2022-09-23 13:35:41.373,A8032A311FAA,-77
2022-09-23 13:44:03.028,A8032A311FAA,-76
2022-09-23 13:35:31.567,A8032A311FAA,-76
2022-09-23 13:35:23.745,A8032A311FAA,-73
2022-09-23 13:44:10.825,A8032A311FAA,-76
2022-09-23 13:35:12.081,A8032A311FAA,-61
2022-09-23 13:44:20.536,A8032A311FAA,-77
2022-09-23 13:44:32.231,A8032A311FAA,-79
2022-09-23 13:35:00.346,A8032A311FAA,-59
2022-09-23 13:27:18.826,A8032A311FAA,-77
2022-09-23 13:43:33.641,A8032A311FAA,-69
2022-09-23 14:29:15.870,A8032A311FAA,-79
2022-09-23 13:32:22.111,A8032A311FAA,-59
2022-09-23 13:40:53.698,A8032A311FAA,-78
2022-09-23 14:52:30.133,A8032A311FAA,-68
2022-09-23 14:52:43.742,A8032A311FAA,-77
2022-09-23 14:52:22.353,A8032A311FAA,-76
2022-09-23 14:31:55.883,A8032A311FAA,-77
2022-09-23 14:52:12.610,A8032A311FAA,-68
2022-09-23 14:31:52.006,A8032A311FAA,-80
2022-09-23 14:52:00.951,A8032A311FAA,-77
2022-09-23 13:26:31.900,A8032A311FAA,-76
2022-09-23 13:24:13.031,A8032A311FAA,-79
2022-09-23 14:52:51.531,A8032A311FAA,-69
2022-09-23 14:53:57.931,A8032A311FAA,-79
2022-09-23 14:51:51.218,A8032A311FAA,-79
2022-09-23 13:29:53.343,A8032A311FAA,-76
2022-09-23 14:53:03.308,A8032A311FAA,-80
2022-09-23 14:31:28.560,A8032A311FAA,-79
2022-09-23 14:53:52.051,A8032A311FAA,-79
2022-09-23 14:30:12.409,A8032A311FAA,-77
2022-09-23 14:53:13.027,A8032A311FAA,-73
2022-09-23 14:54:23.340,A8032A311FAA,-71
2022-09-23 14:29:25.571,A8032A311FAA,-80
2022-09-23 14:31:07.054,A8032A311FAA,-79
2022-09-23 14:29:43.095,A8032A311FAA,-80
2022-09-23 14:54:33.103,A8032A311FAA,-71
2022-09-23 14:30:39.700,A8032A311FAA,-77
2022-09-23 14:53:14.981,A8032A311FAA,-73
2022-09-23 14:54:13.574,A8032A311FAA,-75
2022-09-23 13:28:19.348,A8032A311FAA,-80
2022-09-23 14:29:52.880,A8032A311FAA,-72
2022-09-23 14:54:48.775,A8032A311FAA,-67
2022-09-23 14:54:42.935,A8032A311FAA,-73
2022-09-23 13:36:32.769,A8032A31204E,-49
2022-09-23 13:36:03.599,A8032A31204E,-56
2022-09-23 13:29:32.048,A8032A31204E,-72
2022-09-23 13:36:23.050,A8032A31204E,-34
2022-09-23 13:36:13.336,A8032A31204E,-22
2022-09-23 13:29:12.584,A8032A31204E,-68
2022-09-23 13:29:20.350,A8032A31204E,-74
2022-09-23 13:36:50.259,A8032A31204E,-80
2022-09-23 13:40:03.313,A8032A31204E,-77
2022-09-23 14:12:16.549,A8032A31204E,-70
2022-09-23 13:40:13.023,A8032A31204E,-64
2022-09-23 13:29:00.766,A8032A31204E,-68
2022-09-23 13:28:52.888,A8032A31204E,-66
2022-09-23 13:40:22.744,A8032A31204E,-58
2022-09-23 13:28:43.172,A8032A31204E,-61
2022-09-23 13:40:30.554,A8032A31204E,-78
2022-09-23 13:28:21.826,A8032A31204E,-70
2022-09-23 13:36:42.496,A8032A31204E,-72
2022-09-23 13:29:43.679,A8032A31204E,-70
2022-09-23 13:31:40.488,A8032A31204E,-80
2022-09-23 14:32:34.934,A8032A31204E,-65
2022-09-23 13:31:32.636,A8032A31204E,-63
2022-09-23 14:29:48.808,A8032A31204E,-80
2022-09-23 13:31:22.921,A8032A31204E,-45
2022-09-23 13:31:13.179,A8032A31204E,-68
2022-09-23 13:31:03.512,A8032A31204E,-65
2022-09-23 13:30:53.807,A8032A31204E,-61
2022-09-23 14:31:12.759,A8032A31204E,-73
2022-09-23 13:30:42.082,A8032A31204E,-59
2022-09-23 14:31:18.669,A8032A31204E,-79
2022-09-23 14:27:44.281,A8032A31204E,-73
2022-09-23 14:31:32.250,A8032A31204E,-75
2022-09-23 14:27:40.428,A8032A31204E,-72
2022-09-23 13:35:51.873,A8032A31204E,-80
2022-09-23 13:30:32.315,A8032A31204E,-66
2022-09-23 14:31:40.133,A8032A31204E,-80
2022-09-23 14:27:22.895,A8032A31204E,-68
2022-09-23 13:30:22.628,A8032A31204E,-63
2022-09-23 14:31:53.775,A8032A31204E,-77
2022-09-23 13:30:10.922,A8032A31204E,-52
2022-09-23 13:30:03.161,A8032A31204E,-71
2022-09-23 14:32:03.514,A8032A31204E,-70
2022-09-23 14:32:13.252,A8032A31204E,-66
2022-09-23 13:35:11.017,A8032A31204E,-80
2022-09-23 14:32:23.066,A8032A31204E,-69
2022-09-23 14:32:32.985,A8032A31204E,-71
2022-09-23 13:35:36.375,A8032A31204E,-78
2022-09-23 14:27:32.534,A8032A31204E,-46
2022-09-23 13:29:53.410,A8032A31204E,-77
2022-09-23 13:28:33.427,A8032A31204E,-72
2022-09-23 13:40:59.725,A8032A31204E,-80
2022-09-23 13:55:52.175,A8032A31204E,-75
2022-09-23 13:51:13.378,A8032A31204E,-74
2022-09-23 13:56:07.744,A8032A31204E,-78
2022-09-23 13:51:03.710,A8032A31204E,-63
2022-09-23 13:50:52.041,A8032A31204E,-79
2022-09-23 13:50:42.314,A8032A31204E,-77
2022-09-23 13:50:24.803,A8032A31204E,-76
2022-09-23 13:50:22.870,A8032A31204E,-79
2022-09-23 13:50:05.330,A8032A31204E,-69
2022-09-23 13:57:41.481,A8032A31204E,-78
2022-09-23 13:49:51.718,A8032A31204E,-78
2022-09-23 13:49:40.080,A8032A31204E,-70
2022-09-23 13:49:32.281,A8032A31204E,-71
2022-09-23 13:48:49.455,A8032A31204E,-78
2022-09-23 13:59:48.324,A8032A31204E,-80
2022-09-23 13:48:39.800,A8032A31204E,-78
2022-09-23 14:00:03.837,A8032A31204E,-80
2022-09-23 14:00:09.693,A8032A31204E,-78
2022-09-23 13:48:30.004,A8032A31204E,-79
2022-09-23 14:00:23.292,A8032A31204E,-79
2022-09-23 14:00:31.089,A8032A31204E,-78
2022-09-23 13:55:42.446,A8032A31204E,-71
2022-09-23 14:00:52.529,A8032A31204E,-79
2022-09-23 13:51:23.156,A8032A31204E,-72
2022-09-23 13:55:22.934,A8032A31204E,-65
2022-09-23 13:53:02.571,A8032A31204E,-72
2022-09-23 13:53:08.458,A8032A31204E,-78
2022-09-23 13:52:41.213,A8032A31204E,-76
2022-09-23 13:53:25.951,A8032A31204E,-79
2022-09-23 13:52:31.443,A8032A31204E,-75
2022-09-23 13:53:35.776,A8032A31204E,-76
2022-09-23 13:52:23.676,A8032A31204E,-79
2022-09-23 13:53:45.623,A8032A31204E,-80
2022-09-23 13:53:59.192,A8032A31204E,-78
2022-09-23 13:52:11.896,A8032A31204E,-78
2022-09-23 13:54:12.841,A8032A31204E,-76
2022-09-23 13:54:22.628,A8032A31204E,-73
2022-09-23 13:54:28.419,A8032A31204E,-78
2022-09-23 13:52:02.226,A8032A31204E,-68
