timestamp,macModule,rssi
2022-10-07 14:03:30.413,C45BBE384CD2,-79
2022-10-07 14:03:29.633,C45BBE386952,-77
2022-10-07 14:03:29.469,C45BBE39F56A,-78
2022-10-07 14:03:20.911,C45BBE384CD2,-78
2022-10-07 14:03:17.721,C45BBE39F56A,-78
2022-10-07 14:03:16.255,C45BBE386952,-76
2022-10-07 14:03:09.329,C45BBE384CD2,-80
2022-10-07 14:03:06.697,C45BBE386952,-77
2022-10-07 14:03:00.979,C45BBE386952,-78
2022-10-07 14:02:54.039,C45BBE384CD2,-77
2022-10-07 14:02:49.491,C45BBE386952,-75
2022-10-07 14:02:48.293,C45BBE384CD2,-79
2022-10-07 14:02:40.662,C45BBE384CD2,-74
2022-10-07 14:02:39.891,C45BBE386952,-77
2022-10-07 14:02:30.372,C45BBE386952,-75
2022-10-07 14:02:29.261,C45BBE384CD2,-69
2022-10-07 14:02:20.832,C45BBE386952,-77
2022-10-07 14:02:19.695,C45BBE384CD2,-77
2022-10-07 14:02:10.184,C45BBE384CD2,-75
2022-10-07 14:02:07.478,C45BBE386952,-76
2022-10-07 14:02:00.574,C45BBE384CD2,-74
2022-10-07 14:01:57.813,C45BBE39F56A,-80
2022-10-07 14:01:51.030,C45BBE384CD2,-77
2022-10-07 14:01:50.285,C45BBE386952,-71
2022-10-07 14:01:49.904,C45BBE37B346,-79
2022-10-07 14:01:46.144,C45BBE39F56A,-79
2022-10-07 14:01:39.599,C45BBE384CD2,-66
2022-10-07 14:01:38.346,C45BBE39F56A,-80
2022-10-07 14:01:36.905,C45BBE386952,-63
2022-10-07 14:01:36.200,C45BBE37B346,-80
2022-10-07 14:01:30.372,C45BBE37B346,-76
2022-10-07 14:01:30.045,C45BBE384CD2,-73
2022-10-07 14:01:28.509,C45BBE39F56A,-78
2022-10-07 14:01:25.453,C45BBE386952,-79
2022-10-07 14:01:20.476,C45BBE384CD2,-73
2022-10-07 14:01:19.700,C45BBE386952,-74
2022-10-07 14:01:10.884,C45BBE384CD2,-71
2022-10-07 14:01:06.310,C45BBE386952,-79
2022-10-07 14:01:00.582,C45BBE386952,-78
2022-10-07 14:00:59.498,C45BBE384CD2,-66
2022-10-07 14:00:51.017,C45BBE386952,-79
2022-10-07 14:00:47.995,C45BBE384CD2,-75
2022-10-07 14:00:40.366,C45BBE384CD2,-70
2022-10-07 14:00:30.779,C45BBE384CD2,-65
2022-10-07 14:00:22.347,C45BBE386952,-80
2022-10-07 14:00:19.347,C45BBE384CD2,-64
2022-10-07 14:00:14.684,C45BBE386952,-76
2022-10-07 14:00:10.883,C45BBE386952,-79
2022-10-07 14:00:09.899,C45BBE384CD2,-61
2022-10-07 14:00:00.299,C45BBE384CD2,-80
2022-10-07 13:59:57.539,C45BBE386952,-75
2022-10-07 13:59:49.840,C45BBE386952,-80
2022-10-07 13:59:49.117,C45BBE39F56A,-78
2022-10-07 13:59:45.200,C45BBE37B346,-80
2022-10-07 13:59:43.146,C45BBE384CD2,-73
2022-10-07 13:59:40.166,C45BBE386952,-74
2022-10-07 13:59:39.299,C45BBE37B346,-67
2022-10-07 13:59:37.487,C45BBE39F56A,-63
2022-10-07 13:59:30.559,C45BBE386952,-77
2022-10-07 13:59:29.676,C45BBE39F56A,-75
2022-10-07 13:59:27.483,C45BBE37B346,-76
2022-10-07 13:59:11.859,C45BBE37B346,-77
2022-10-07 11:39:41.102,C45BBE37B346,-64
2022-10-07 11:39:40.024,C45BBE386952,-79
2022-10-07 11:39:39.802,C45BBE39F56A,-73
2022-10-07 11:39:39.207,C45BBE37B346,-59
2022-10-07 11:39:30.476,C45BBE386952,-54
2022-10-07 11:39:30.013,C45BBE39F56A,-64
2022-10-07 11:39:29.407,C45BBE37B346,-69
2022-10-07 11:39:22.831,C45BBE384CD2,-79
