timestamp,macModule,rssi
2022-11-18 15:01:53.931,C45BBE39870E,-72
2022-11-18 15:01:53.931,C45BBE39870E,-72
2022-11-18 15:01:41.891,C45BBE39870E,-69
2022-11-18 15:01:32.212,C45BBE39870E,-70
2022-11-18 15:01:22.736,A8032A31204A,-80
2022-11-18 15:01:22.383,C45BBE39870E,-67
2022-11-18 15:01:18.207,C45BBE39F4D6,-75
2022-11-18 15:01:12.903,A8032A31204A,-66
2022-11-18 15:01:10.759,C45BBE39870E,-58
2022-11-18 15:01:03.508,C45BBE39870E,-52
2022-11-18 15:01:01.010,A8032A31204A,-72
2022-11-18 15:00:56.920,A8032A311FAA,-80
2022-11-18 15:00:53.012,C45BBE39870E,-52
2022-11-18 15:00:51.320,A8032A31204A,-75
2022-11-18 15:00:43.418,A8032A311FAA,-77
2022-11-18 15:00:39.788,A8032A31204A,-75
2022-11-18 15:00:36.359,C45BBE39F4D6,-79
2022-11-18 15:00:33.103,C45BBE39870E,-55
2022-11-18 15:00:31.747,A8032A31204A,-76
2022-11-18 15:00:31.175,A8032A311FAA,-77
2022-11-18 15:00:24.208,C45BBE39F4D6,-80
2022-11-18 15:00:22.311,C45BBE39F4D6,-80
2022-11-18 15:00:21.376,C45BBE39870E,-44
2022-11-18 15:00:18.172,A8032A31204A,-78
2022-11-18 15:00:15.222,A8032A311FAA,-80
2022-11-18 15:00:13.536,C45BBE39870E,-61
2022-11-18 15:00:06.537,A8032A31204A,-71
2022-11-18 15:00:02.666,C45BBE39F4D6,-79
2022-11-18 15:00:02.656,A8032A31204A,-72
2022-11-18 14:59:59.979,C45BBE39870E,-52
2022-11-18 14:59:52.206,C45BBE39870E,-65
2022-11-18 14:59:42.509,C45BBE39870E,-65
2022-11-18 14:59:41.501,A8032A31204A,-79
2022-11-18 14:59:32.819,C45BBE39870E,-63
2022-11-18 14:59:26.008,A8032A31204A,-76
2022-11-18 14:59:23.090,C45BBE39870E,-65
2022-11-18 14:59:18.342,A8032A31204A,-79
2022-11-18 14:59:10.603,A8032A31204A,-80
2022-11-18 14:59:09.494,C45BBE39870E,-71
2022-11-18 14:59:03.612,C45BBE39870E,-67
2022-11-18 14:59:02.876,A8032A31204A,-77
2022-11-18 14:58:53.302,A8032A31204A,-75
2022-11-18 14:58:51.978,C45BBE39870E,-63
2022-11-18 14:58:42.126,C45BBE39870E,-71
2022-11-18 14:58:41.808,A8032A31204A,-69
2022-11-18 14:58:32.342,C45BBE39870E,-58
2022-11-18 14:58:32.004,A8032A31204A,-74
2022-11-18 14:58:22.708,C45BBE39870E,-61
2022-11-18 14:58:20.390,A8032A31204A,-70
2022-11-18 14:58:12.867,C45BBE39870E,-70
2022-11-18 14:58:12.528,A8032A31204A,-74
2022-11-18 14:58:05.333,C45BBE39F4D6,-80
2022-11-18 14:58:03.651,A8032A311FAA,-79
2022-11-18 14:58:03.395,C45BBE39F4D6,-76
2022-11-18 14:58:03.181,C45BBE39870E,-66
2022-11-18 14:58:02.869,A8032A31204A,-79
2022-11-18 14:58:01.735,A8032A311FAA,-80
2022-11-18 14:57:53.533,C45BBE39870E,-74
2022-11-18 14:57:51.731,C45BBE39F4D6,-77
2022-11-18 14:57:47.687,A8032A31204A,-80
2022-11-18 14:57:43.378,C45BBE39870E,-74
2022-11-18 14:57:39.835,A8032A31204A,-79
2022-11-18 14:57:31.945,A8032A31204A,-77
2022-11-18 14:57:31.511,C45BBE39870E,-78
2022-11-18 14:57:21.741,C45BBE39870E,-70
2022-11-18 14:56:58.319,C45BBE39870E,-73
2022-11-18 14:56:52.332,C45BBE39870E,-77
2022-11-18 14:56:42.699,C45BBE39870E,-80
2022-11-18 14:56:33.069,C45BBE39870E,-75
2022-11-18 14:56:23.219,C45BBE39870E,-73
2022-11-18 14:56:13.492,C45BBE39870E,-69
2022-11-18 14:56:01.738,C45BBE39870E,-73
2022-11-18 14:55:50.047,C45BBE39870E,-74
2022-11-18 14:55:03.265,C45BBE39870E,-79
2022-11-18 14:54:49.709,C45BBE39870E,-80
2022-11-18 14:54:41.830,C45BBE39870E,-75
2022-11-18 14:54:32.117,C45BBE39870E,-78
2022-11-18 14:54:18.579,C45BBE39870E,-79
2022-11-18 14:54:01.075,C45BBE39870E,-78
2022-11-18 14:53:51.277,C45BBE39870E,-79
2022-11-18 14:53:27.818,C45BBE39870E,-78
2022-11-18 14:53:22.085,C45BBE39870E,-80
2022-11-18 14:53:10.294,C45BBE39870E,-80
2022-11-18 14:52:46.883,C45BBE39870E,-78
2022-11-18 14:52:41.030,C45BBE39870E,-77
2022-11-18 14:52:31.301,C45BBE39870E,-78
2022-11-18 14:52:23.525,C45BBE39870E,-78
