60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,76.0
,,,-75,-76.0,-80,-80.0,-73.0,-72,-78.0,-80.0,-80,-79.0,-80.0,-80,-74.0,-78,-75,-72,-70,-73,-64,-75,-75,-67,-69,-57,-54,-72,-59,
,,,-75,-77.0,-77,,,-78,-80.0,-75.0,-80,-76.0,-77.0,-78,-78.0,-80,-75,-68,-70,-71,-71,-68,-67,-70,-61,-60,-58,-65,-57,
,,,-76,,-76,,,-75,-78.0,-80.0,-80,-77.0,-77.0,-80,-80.0,-78,-70,-78,-70,-77,-74,-71,-74,-67,-61,-60,-55,-59,-67,
,,,-75,,-79,,,-78,-79.0,,-80,,,-79,-77.0,-76,-76,-72,-72,-74,-80,-61,-77,-65,-61,-57,-60,-69,-57,
,,,-74,,-78,,,-73,-80.0,,-78,,,-79,,-76,-70,-75,-69,-70,-66,-62,-70,-64,-62,-60,-57,-61,-56,
,,,-80,,-77,,,-75,,,-72,,,-79,,-77,-73,-76,-71,-76,-68,-61,-75,-65,-61,-51,-59,-65,-57,
,,-77.0,-77,-80.0,-79,-73.0,,-78,-74.0,-80.0,-80,-79.0,-78.0,-77,-78.0,-75,-77,-72,-77,-75,-73,-75,-69,-71,-72,-57,-57,-70,-57,-77.0
,,-78.0,-75,-80.0,-74,-78.0,,-79,-72.0,-75.0,-80,-76.0,,-80,-78.0,-74,-76,-73,-72,-76,-75,-67,-66,-71,-61,-59,-56,-59,-57,-77.0
