60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,76.0
-77,-79,-67,-71,-71,-72,-77,-69,-75.0,-80,-80,-80.0,,-80.0,-79.0,,-80.0,,,,,,,,,,,,,,
-78,-76,-80,-69,-76,-76,-80,-76,-77.0,-80,-79,,,-79.0,-80.0,,,,,,,,,,,,,,,,
-78,-65,-66,-68,-78,-68,-75,-80,-80.0,-77,-75,,,,,,,,,,,,,,,,,,,,
-79,-77,-60,-68,-78,-72,-74,-80,-76.0,-77,-74,,,,,,,,,,,,,,,,,,,,
-80,-72,-61,-68,-73,-71,-77,-79,-75.0,-77,-76,,,,,,,,,,,,,,,,,,,,
-80,-71,-80,-68,-64,-75,-73,-78,-79.0,-69,-80,-80.0,,-80.0,-80.0,,,,,,,,,,-80.0,,,,,,
-76,-74,-71,-65,-74,-69,-77,-75,-75.0,-79,-79,,,-80.0,-79.0,,,,,,,,,,,,,,,,
-76,-79,-69,-68,-72,-70,-77,-75,-73.0,-69,-75,,,-79.0,-80.0,,,,,,,,,,,,,,,,
-75,-80,-69,-70,-63,-77,-76,-77,-78.0,-76,-74,,,-80.0,-80.0,,,,,,,,,,,,,,,,
-77,-73,-71,-69,-63,-77,-79,-76,,-77,-76,,,-80.0,,,,,,,,,,,,,,,,,
