Position,Time
62,8h40
68,8h46
73,8h51
76,8h57
79,9h2
65,9h6
70,9h16
82,9h23
85,9h30
88,9h36
90,9h42
60,12h54
61,12h56
63,12h58
64,13h1
66,13h3
67,13h5
69,13h7
71,13h9
72,13h11
74,13h13
75,13h15
77,13h17
78,13h31
80,13h33
81,13h35
83,13h37
84,13h39
86,13h42
87,13h44
89,13h46
