A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-79.0,-77.0,-76.0,-77.0,,,-79,
,,,-77.0,,-77.0,,,-80,
,,,-79.0,,-76.0,,,-79,
,,,-80.0,,-78.0,,,-78,
,,,-78.0,,-79.0,,,-78,
,,,-80.0,,-76.0,,,-78,
,,,-79.0,,-78.0,,,-79,
,,,-80.0,,-73.0,,,-80,
,,,-79.0,,-78.0,,,-79,
,,,,,-79.0,,,-65,
,,,,,-79.0,,,-78,
,,,,,-78.0,,,-77,
,,,,,-80.0,,,-77,
,,,,,-78.0,,,-78,
,,,,,-77.0,,,-80,
,,,,,-80.0,,,-76,
,,,,,-78.0,,,-77,
,,,,,-79.0,,,-80,
,,,,,-77.0,,,-78,
,,,,,-78.0,,,-78,
,,,,,-78.0,,,-80,
,,,,,-80.0,,,-79,
,,,,,-76.0,,,-77,
,,,,,-80.0,,,-80,
,,,,,,,,-76,
