A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,,-80.0,-48,-78.0,,,-80.0,
,,,-77.0,-51,-75.0,,,-77.0,
,,,-73.0,-74,-72.0,,,-76.0,
,,,-80.0,-51,-80.0,,,-80.0,
,,,-73.0,-48,-78.0,,,-76.0,
,,,-79.0,-56,-75.0,,,-75.0,
,,,-78.0,-66,-80.0,,,-74.0,
,,,-78.0,-66,,,,,
,,,-80.0,-65,,,,,
,,,-72.0,-66,,,,,
,,,-79.0,-64,,,,,
,,,-77.0,-62,,,,,
,,,-77.0,-63,,,,,
,,,-78.0,-63,,,,,
,,,-78.0,-66,,,,,
,,,,-66,,,,,
,,,,-60,,,,,
,,,,-60,,,,,
,,,,-57,,,,,
,,,,-62,,,,,
,,,,-61,,,,,
,,,,-57,,,,,
,,,,-60,,,,,
,,,,-72,,,,,
,,,,-80,,,,,
,,,,-76,,,,,
,,,,-80,,,,,
,,,,-80,,,,,
,,,,-79,,,,,
