A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-80.0,-75.0,-80.0,-75,,,-67,
,,-79.0,-74.0,-80.0,-72,,,-71,
,,-74.0,-78.0,-77.0,-73,,,-72,
,,-78.0,-77.0,-79.0,-73,,,-75,
,,-74.0,-78.0,-80.0,-71,,,-74,
,,-79.0,-78.0,,-75,,,-76,
,,,-76.0,,-74,,,-72,
,,,-76.0,,-80,,,-77,
,,,-78.0,,-74,,,-74,
,,,-79.0,,-74,,,-70,
,,,-71.0,,-70,,,-70,
,,,-75.0,,-77,,,-73,
,,,-76.0,,-70,,,-72,
,,,-69.0,,-69,,,-80,
,,,-79.0,,-79,,,-76,
,,,-72.0,,-69,,,-73,
,,,-73.0,,-70,,,-63,
,,,-77.0,,-71,,,-64,
,,,-77.0,,-74,,,-56,
,,,,,-69,,,-72,
,,,,,-71,,,-69,
,,,,,-74,,,-74,
,,,,,-70,,,-76,
,,,,,-68,,,-70,
,,,,,-79,,,-67,
,,,,,-73,,,-79,
,,,,,-73,,,-66,
,,,,,-76,,,-77,
,,,,,-71,,,-71,
,,,,,-76,,,-77,
,,,,,-77,,,-71,
